Title,Brand,Rating,Reviews,Price,Image URL,Product URL
Babique Cow Tremp Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Pack of 1)(30 cm),Unknown,No rating,629,No price,https://m.media-amazon.com/images/I/71haBHpt8wL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfYXRmOjMwMDAwNTA2OTQ5NTIzMjo6MDo6&url=%2FBabique-Tremp-Plush-Animal-Decor%2Fdp%2FB0BFNNS31H%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
HappyBuddy Talking Plush Toy Lenny The Lion | Soft Toy for Kids 1-5 Years Age,Unknown,No rating,No reviews,No price,https://m.media-amazon.com/images/I/612RyncKUIL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfYXRmOjMwMDU1NTIxMDcxMDMzMjo6MDo6&url=%2FHappyBuddy-Talking-Plush-Toy-Lion%2Fdp%2FB0F4NGGGDQ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"OLSIC Breathing Soft Teddy Bear Plush Sound Machine Baby Gift with Music, Lights & Breathing Motion Infant Toys for Newborns, Heart Beat Stuffed Animal Plush Cute Teddy Bear (Multicolor)",Unknown,No rating,7,No price,https://m.media-amazon.com/images/I/512cGrVqB0L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfYXRmOjMwMDU0MjE4NDkyMzczMjo6MDo6&url=%2FOLSIC-Breathing-Teddy-Newborns-Multicolor%2Fdp%2FB0F4D45TLR%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
HappyBuddy Talking Plush Toy Dottie The Deer | Soft Toy for Kids 1-5 Years Age,Unknown,No rating,No reviews,No price,https://m.media-amazon.com/images/I/61TUInLnqIL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfYXRmOjMwMDU1NTIxMDcxMDIzMjo6MDo6&url=%2FHappyBuddy-Talking-Plush-Toy-Deer%2Fdp%2FB0F4NGHPX7%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
TechMax Solution The Perfect Grey Long Dog Plush Pillow for Snuggly Nights and Sweet Dreams an for Anyone in Need of Cuddly Comfort,Unknown,No rating,8,No price,https://m.media-amazon.com/images/I/410D7Ai+SFL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfbXRmOjMwMDE3MDY3MDg0NDUzMjo6MDo6&url=%2FTechMax-Solution-Perfect-Snuggly-Comfort%2Fdp%2FB0D2NKDNYZ%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Toy Figure Child Safe Best for Birthday Gift Valentine Gift for Girlfriend 4 FEET Cream Plush & Stuffed Toys,Unknown,No rating,2,No price,https://m.media-amazon.com/images/I/710jBD4M2ML._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfbXRmOjMwMDQ4NTE0NzYwMDgzMjo6MDo6&url=%2FHUG-FEEL-SOFT-TOYS-Girlfriend%2Fdp%2FB09BL7H2JD%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Thrive Toys Soft Toys for Kids Girls - Milk Tea Piggy 26cm Plushies Cute Teddy Bear | Animal Stuff Toys | Birthday Gift for Baby, Boy, Kids, Girl & Girlfriend | Ideal for Special Occasions (Green)",Unknown,No rating,4,No price,https://m.media-amazon.com/images/I/61Q8s43ymVL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfbXRmOjMwMDQ0MDk1NjYzOTUzMjo6MDo6&url=%2FThrive-Toys-Soft-Kids-Girls%2Fdp%2FB0D8G1YZ36%2Fref%3Dsr_1_23_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Amazon Brand - Jam & Honey Dinosaur, Cute, Plush/Soft Toy, Suitable for Boys, Girls and Kids, Super-Soft, Safe, 34 cm (Green & Yellow)",Unknown,No rating,13333,No price,https://m.media-amazon.com/images/I/81c5rU7uWgL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfbXRmOjMwMDA0NDMwNzQwNzkzMjo6MDo6&url=%2FAmazon-Brand-Dinosaur-Suitable-Super-Soft%2Fdp%2FB0CCD1SVCC%2Fref%3Dsr_1_24_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"LOVEY DOVEY Super Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Bear (30 cm Super Soft Toys, Kangaroo with Baby)",Unknown,No rating,16,No price,https://m.media-amazon.com/images/I/51MceuI7nKL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfYnRmOjMwMDUwMTkxNjU3OTAzMjo6MDo6&url=%2FLOVEY-DOVEY-Lovable-hugable-Kangaroo%2Fdp%2FB09TXQL1JJ%2Fref%3Dsr_1_57_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
LOVEY DOVEY Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Teddy Bear easly Washable 100% Child Safe Best Gift for Birthday Gift Valentine Gift for Girlfriend 6 FEET Pink,Unknown,No rating,921,No price,https://m.media-amazon.com/images/I/619s8Q+jcNL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDc4MzIyODU4ODc3NTc2OjE3NDcwNDQ1NDM6c3BfYnRmOjMwMDQ3ODQ0MDgzMTczMjo6MDo6&url=%2FLOVEY-DOVEY-Huggable-Valentine-Girlfriend%2Fdp%2FB09MWG25DW%2Fref%3Dsr_1_58_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5ikHUbdv2URNEn3CKFXK_IwmlqdKdX577MdcBa7gMkzg8xNifd_PlQJIeROwqyEdt-2CUPpSCrf-Bbgqyy2GtPmKGLQduSwJ4GE9pidryANZpg36tfOyuwamOlaEza2TTP9hLns4QpX42-igw3ypoLsKj_Sz0YZRlfUw4D2NnWREJ54cX-HFAX4lol47XtTuxeob_l9TnoGDFe6YW4QadHSP8BzhNYgnzn1KwnpPSITghIKyw-xlfW1XfLm49RA4IRg.RQ6ZjbjwdxxZdjO6Pe1NC5u_BOEiWJBZcIjII9swuTk%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1747044543%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA19B00HGTEVUGE
